 ,MORTE, eUTI, NVACC, SEXO, PNEUMOPATI, IMUNODEPRE, OBESIDADE, SIND_DOWN, RENAL, NEUROLOGIC, DIABETES, PUERPERA, OUT_MORBI, HEMATOLOGI, ASMA, HEPATICA, CARDIOPATI, AG0t18_AG18t30, AG0t18_AG30t40, AG0t18_AG40t50, AG0t18_AG50t65, AG0t18_AG65t75, AG0t18_AG75t85, AG0t18_AG85+, Branca_Preta, Branca_Parda, Branca_Amarela, Branca_Indigena, BDI_0_BDI_1, BDI_0_BDI_2, BDI_0_BDI_3, BDI_0_BDI_4, T4t12_T12t40, T4t12_T0t4, T4t12_TM40
DIABETES, -0.00607239550105377, -0.0069021984327782065, 0.01795436061521128, 0.03532796060534312, 0.013476077332555281, 0.014494035994052313, -0.0504494080693112, -0.005547451607230338, -0.05745933571117607, 0.008410813050604728, 1.0, 0.0010657873989376827, -0.08650998563847712, -0.0017018008871351915, 0.0003122436515349001, -0.012659252847189518, -0.221879527345875, -0.0023900105432470347, -0.006761882222075112, -0.015985213928193354, -0.03196716836347472, -0.041055295266929075, -0.03403557392092675, -0.018684793955022164, -0.016095506064454604, -0.006310561686083309, -0.004557391902827315, -0.00033236626871061117, 0.0004505961857802172, 0.002551286143171456, 0.0025140466708844316, -0.0035247509992825366, 0.009089633797607822, 0.008117333857031178, -0.004152759456390935
PUERPERA, -0.016080058103191425, -0.011298506843535104, 0.0008751826674003821, 0.05533557349957207, -0.00028605552832430706, 0.004288669347514562, 0.012237471010709107, -0.0005245104262670545, -0.00029017342078029994, 0.0013430430762201117, 0.0010657873989376844, 1.0, -0.0010411371672018849, -0.004345340363965667, -0.0021900770809035845, -0.002130731688568386, -0.00017672377435166617, -0.03924621769099759, -0.00864969977039955, 0.010864893174353588, 0.013524475377502449, 0.013699254646546649, 0.013804807462563795, 0.013726978133910703, -0.004598704662594579, -0.0060467940861029315, 0.0009797821350854728, -0.004422594859449309, 0.0012591948188833272, -0.0011724522914611274, -0.003022148599954656, -0.006987568294462846, -0.007231669107503348, -0.007084680396612123, -0.0035456302214534464
OUT_MORBI, -0.03879884968762201, -0.050607207587954145, 0.026731593213492055, 0.036602520051715694, -0.031188706680831124, -0.06628890528782723, -0.033545720768203516, -0.004030915108440062, -0.018990357500291485, -0.02520605908048745, -0.08650998563847709, -0.0010411371672018773, 1.0000000000000002, -0.005601926797645438, -0.010192794403678164, -0.01816292846282355, 0.07595782613645637, 0.0027535889591702657, 0.0037393203141431928, -0.003259742600575542, -0.01576654921608686, -0.024058725135668722, -0.026558706660133668, -0.02620621059189622, 0.004693384742272741, 0.006979060477005982, 0.0032271593979347735, 0.006116047186959036, 0.007544812252462807, 0.007661489663489146, 0.027864585878765287, 0.020929739291488426, 0.0004919721324954672, 0.007043909704976906, -0.0044028929313938885
HEMATOLOGI, -0.015514706666554528, -0.000910427840911819, 0.00014071817778430043, 0.00499268122500187, -0.015811444651546075, -0.0859208864485776, -0.002180798623121018, -0.03698292141800198, -0.019668046100814594, -0.01753855961396878, -0.001701800887135193, -0.0043453403639656645, -0.0056019267976454385, 0.9999999999999999, -0.01547338711393679, -0.0465677400889671, -0.006226884886744208, 0.009167126887643602, 0.012263720663044845, 0.013067623940629873, 0.012974509568747093, 0.012080693728530283, 0.012143211512256802, 0.012192431454853814, -0.0012564261767002548, 0.0032045400192592466, -0.0008882347365153645, 0.0012300356007571124, -0.0024580155528597593, 0.0016701073076659566, 0.0034836367857134357, 0.002002839420448699, -0.0015326241533684829, -3.663205781633591e-05, -0.004091472171279068
ASMA, -0.03578671649262358, -0.007338862440824671, 0.003256679539516966, 0.04452731841893506, -0.058495453106452114, 0.0022434150642201673, -0.04107560463745594, -0.013781191075570897, -0.0031482294470468524, 0.0003551180212893446, 0.00031224365153488266, -0.0021900770809035837, -0.010192794403678186, -0.01547338711393679, 1.0000000000000002, -0.0136647567399501, -0.013489063582995049, 0.012189100683150114, 0.017023662707590433, 0.018952575845360548, 0.022457553392749647, 0.023079466797501197, 0.02293591201218224, 0.023644440289266953, 0.0004067006264641638, 0.005535028772084546, 0.0015438316934159976, 0.00047457100791716814, 0.00842960470589302, 0.012494555738996454, 0.01572120677678443, 0.020752260711686385, -0.0024450169922614973, 0.00042240134807276623, -1.6737927473311628e-05
HEPATICA, -0.0013250791394182257, 0.0055654398546920196, -0.0011005002480424795, -0.01572916303476392, -0.01719077673551203, -0.0412617452779653, 0.0005004559052659174, -0.02951602620429002, -0.03493382428574309, -0.013927966674453335, -0.012659252847189509, -0.002130731688568385, -0.018162928462823566, -0.04656774008896711, -0.0136647567399501, 1.0, -0.005502358758298221, -0.0005507759809218345, -0.0010430725071383633, -0.002691231768850518, -0.003839736611208497, -0.0016277993578220548, 0.0008809237594755494, 0.002556879083123719, -0.00035213158799335945, -0.0003601286538823749, -0.00112430071257467, 0.00023885061414580556, 0.0036745037451405625, 0.006345441543193106, 0.006668359681306122, 0.005725921587638195, -0.0012169387373617182, 0.0014601723490634173, -0.001497054785621237
CARDIOPATI, -0.01845780272341397, -0.04661798953073121, 0.024877693802262263, 0.02443708446749495, -0.04206736411177534, 0.006153376184736428, -0.07922815779674616, -0.007515826716648122, -0.06171978713494749, -0.02851013318123188, -0.22187952734587488, -0.00017672377435165625, 0.07595782613645638, -0.006226884886744195, -0.01348906358299504, -0.005502358758298204, 1.0000000000000002, 0.0017487110819865202, -0.005247022938464765, -0.01854422972024055, -0.03872789632749133, -0.05515016627820093, -0.06223518114133019, -0.06265271230282289, -0.0165207175201333, 0.009169300745218411, 0.0012255351832574225, 0.006161608918554733, 0.003040926441532355, 0.021696969125908672, 0.031079059338506538, 0.04436990524329249, -0.0032222658513112387, 0.01771484674527211, -0.0033514959055462065
AG0t18_AG18t30, -0.8373701239958041, 0.01368586294611985, 0.006044532459498284, 0.0022397835974143484, 0.00648329989138726, 0.003475150203420385, -0.034857774598954464, 0.016057292337733606, -0.001887974254918034, 0.02287096876522037, -0.002390010543247061, -0.039246217690997835, 0.002753588959170231, 0.009167126887643508, 0.012189100683150064, -0.0005507759809217851, 0.001748711081986864, 1.0, 0.8477457996311564, 0.8632710138591222, 0.8734746725191288, 0.8678652309510524, 0.8616230532059571, 0.8426163732541527, -0.0013579234564783142, 0.010735069325155285, -0.0018681212315742313, 0.018234742525130163, 0.0014463322728414313, 0.0010270570977467133, 0.0021970798143821422, 0.009886837987648733, 0.0033768021892997867, 0.013291495521820995, 0.004869562198786863
AG0t18_AG30t40, -0.9075347136765944, 0.01465602522225203, 0.008004527587758868, -0.010379271041043747, 0.007456770092382987, 0.00756100011292072, -0.0361440823052458, 0.026307826848596547, -0.00011452350644349986, 0.029433836194310153, -0.006761882222075402, -0.008649699770399642, 0.0037393203141430032, 0.01226372066304474, 0.01702366270759041, -0.0010430725071383013, -0.005247022938465028, 0.8477457996311563, 1.0, 0.9353882923794876, 0.9467337085068719, 0.9408016855676716, 0.9339104126730341, 0.9130211955234246, -0.0013515688833752705, 0.012762255747199271, -0.0012560297984296066, 0.02235420507198221, 0.002962998444888698, 0.002694661014109178, 0.005810922820311962, 0.015449526279426164, 0.0050496385437690285, 0.022277546790845648, 0.006295866121357797
AG0t18_AG40t50, -0.9265493138792353, 0.019612874882288012, 0.010754526617138715, -0.01236679654166278, 0.007847173589369023, 0.00918944565174254, -0.027432375366528018, 0.03057747848700837, 8.668784880592797e-05, 0.031077332436312607, -0.01598521392819389, 0.010864893174353563, -0.0032597426005758104, 0.013067623940629765, 0.018952575845360545, -0.0026912317688504604, -0.018544229720240554, 0.8632710138591219, 0.9353882923794878, 1.0, 0.9668318239039607, 0.9613899677595746, 0.9544629342118807, 0.9329987345479258, -0.0006766758623420003, 0.01276763782367089, -0.0012743296740465578, 0.023272050693706338, 0.0036593227456302073, 0.0035079263323838377, 0.007195938260810165, 0.018076138247970375, 0.002918828700653523, 0.0265050318444516, 0.003884979900020382
