t,deaths,cases,cases_cum,nCFR,cases_adj,cases_adj_cum,date
235,550,19728,3275126,0.027879156528791565,91666.66666666667,23514500.000000004,2020-08-22
236,564,18325,3293451,0.03077762619372442,94000.0,23608500.000000004,2020-08-23
237,604,25927,3319378,0.023296177729779766,100666.66666666667,23709166.66666667,2020-08-24
238,641,25723,3345101,0.024919332892741904,106833.33333333333,23816000.000000004,2020-08-25
239,610,21670,3366771,0.02814951545916013,101666.66666666667,23917666.66666667,2020-08-26
240,575,21634,3388405,0.026578533789405567,95833.33333333333,24013500.000000004,2020-08-27
241,685,25760,3414165,0.0265916149068323,114166.66666666667,24127666.66666667,2020-08-28
242,493,19714,3433879,0.025007608805924723,82166.66666666667,24209833.33333334,2020-08-29
243,557,16841,3450720,0.033074045484234905,92833.33333333333,24302666.66666667,2020-08-30
244,602,22997,3473717,0.026177327477497066,100333.33333333333,24403000.000000004,2020-08-31
245,917,30883,3504600,0.029692711200336754,152833.33333333334,24555833.333333336,2020-09-01
246,556,22580,3527180,0.02462356067316209,92666.66666666667,24648500.000000004,2020-09-02
247,568,19420,3546600,0.029248197734294542,94666.66666666667,24743166.66666667,2020-09-03
248,557,20621,3567221,0.027011299161049416,92833.33333333333,24836000.000000004,2020-09-04
249,565,17840,3585061,0.03167040358744395,94166.66666666667,24930166.66666667,2020-09-05
250,465,14651,3599712,0.03173844788751621,77500.0,25007666.66666667,2020-09-06
251,561,17743,3617455,0.03161810291382517,93500.0,25101166.66666667,2020-09-07
252,528,21563,3639018,0.024486388721420952,88000.0,25189166.66666667,2020-09-08
253,535,19932,3658950,0.026841260284968894,89166.66666666667,25278333.33333334,2020-09-09
254,726,25334,3684284,0.028657140601563116,121000.0,25399333.33333334,2020-09-10
255,492,19821,3704105,0.02482215831693658,82000.0,25481333.33333334,2020-09-11
256,478,15746,3719851,0.03035691604216944,79666.66666666667,25561000.000000007,2020-09-12
257,480,14591,3734442,0.03289699129600439,80000.0,25641000.000000007,2020-09-13
258,562,21589,3756031,0.026031775441196905,93666.66666666667,25734666.666666675,2020-09-14
259,514,20406,3776437,0.025188669999019895,85666.66666666667,25820333.333333343,2020-09-15
260,429,16780,3793217,0.025566150178784268,71500.0,25891833.333333343,2020-09-16
261,539,17409,3810626,0.03096099718536389,89833.33333333333,25981666.666666675,2020-09-17
262,481,19399,3830025,0.024795092530542812,80166.66666666667,26061833.333333343,2020-09-18
263,442,14831,3844856,0.029802440833389524,73666.66666666667,26135500.00000001,2020-09-19
264,634,19026,3863882,0.0333228214022916,105666.66666666667,26241166.66666668,2020-09-20
265,459,19300,3883182,0.023782383419689117,76500.0,26317666.66666668,2020-09-21
266,394,16618,3899800,0.02370923095438681,65666.66666666667,26383333.333333347,2020-09-22
267,438,16155,3915955,0.02711234911792015,73000.0,26456333.333333347,2020-09-23
268,429,16158,3932113,0.02655031563312291,71500.0,26527833.333333347,2020-09-24
269,491,19792,3951905,0.02480800323362975,81833.33333333333,26609666.66666668,2020-09-25
270,374,14225,3966130,0.026291739894551844,62333.33333333333,26672000.00000001,2020-09-26
271,384,12324,3978454,0.0311587147030185,64000.0,26736000.00000001,2020-09-27
272,424,18596,3997050,0.022800602280060228,70666.66666666667,26806666.66666668,2020-09-28
273,421,15487,4012537,0.02718408988183638,70166.66666666667,26876833.333333347,2020-09-29
274,426,16026,4028563,0.026581804567577687,71000.0,26947833.333333347,2020-09-30
275,685,21914,4050477,0.031258556174135255,114166.66666666667,27062000.000000015,2020-10-01
276,474,16825,4067302,0.028172362555720653,79000.0,27141000.000000015,2020-10-02
277,352,12908,4080210,0.027269910133250697,58666.666666666664,27199666.666666683,2020-10-03
278,354,11360,4091570,0.031161971830985916,59000.0,27258666.666666683,2020-10-04
279,426,18203,4109773,0.023402735812778113,71000.0,27329666.666666683,2020-10-05
280,410,14681,4124454,0.02792725291192698,68333.33333333333,27398000.000000015,2020-10-06
281,384,14384,4138838,0.026696329254727477,64000.0,27462000.000000015,2020-10-07
282,394,16303,4155141,0.024167331166043058,65666.66666666667,27527666.666666683,2020-10-08
283,400,17563,4172704,0.022775152308831065,66666.66666666667,27594333.33333335,2020-10-09
284,561,19566,4192270,0.0286721864458755,93500.0,27687833.33333335,2020-10-10
285,309,11228,4203498,0.027520484503028145,51500.0,27739333.33333335,2020-10-11
286,349,14424,4217922,0.024195784803105934,58166.666666666664,27797500.00000002,2020-10-12
287,345,17618,4235540,0.0195822454308094,57500.0,27855000.00000002,2020-10-13
288,347,16457,4251997,0.021085252476149965,57833.333333333336,27912833.33333335,2020-10-14
289,431,19027,4271024,0.022652020812529563,71833.33333333333,27984666.666666683,2020-10-15
290,394,18671,4289695,0.021102244121900274,65666.66666666667,28050333.33333335,2020-10-16
291,329,16129,4305824,0.020398040796081592,54833.333333333336,28105166.666666683,2020-10-17
292,362,14965,4320789,0.024189776144336785,60333.33333333333,28165500.000000015,2020-10-18
293,393,19700,4340489,0.019949238578680202,65500.0,28231000.000000015,2020-10-19
294,514,21090,4361579,0.024371740161213844,85666.66666666667,28316666.666666683,2020-10-20
295,385,15609,4377188,0.02466525722339676,64166.666666666664,28380833.33333335,2020-10-21
