t,deaths,cases,cases_cum,nCFR,case_adj,cases_adj_cum,date
112,233,723,19232,0.32226832641770403,38833.333333333336,1061666.6666666665,2020-04-21
113,331,832,20064,0.39783653846153844,55166.666666666664,1116833.3333333333,2020-04-22
114,293,803,20867,0.36488169364881695,48833.333333333336,1165666.6666666665,2020-04-23
115,336,822,21689,0.40875912408759124,56000.0,1221666.6666666665,2020-04-24
116,314,892,22581,0.35201793721973096,52333.333333333336,1273999.9999999998,2020-04-25
117,302,764,23345,0.39528795811518325,50333.333333333336,1324333.333333333,2020-04-26
118,354,854,24199,0.41451990632318503,59000.0,1383333.333333333,2020-04-27
119,339,820,25019,0.41341463414634144,56500.0,1439833.333333333,2020-04-28
120,286,664,25683,0.4307228915662651,47666.666666666664,1487499.9999999998,2020-04-29
121,399,920,26603,0.43369565217391304,66500.0,1553999.9999999998,2020-04-30
122,487,1280,27883,0.38046875,81166.66666666667,1635166.6666666665,2020-05-01
123,320,820,28703,0.3902439024390244,53333.333333333336,1688499.9999999998,2020-05-02
124,337,858,29561,0.3927738927738928,56166.666666666664,1744666.6666666665,2020-05-03
125,376,910,30471,0.41318681318681316,62666.666666666664,1807333.3333333333,2020-05-04
126,365,885,31356,0.4124293785310734,60833.33333333333,1868166.6666666665,2020-05-05
127,289,771,32127,0.3748378728923476,48166.666666666664,1916333.3333333333,2020-05-06
128,307,821,32948,0.37393422655298414,51166.666666666664,1967500.0,2020-05-07
129,318,818,33766,0.38875305623471884,53000.0,2020500.0,2020-05-08
130,278,768,34534,0.3619791666666667,46333.333333333336,2066833.3333333333,2020-05-09
131,416,1120,35654,0.37142857142857144,69333.33333333333,2136166.6666666665,2020-05-10
132,297,817,36471,0.3635250917992656,49500.0,2185666.6666666665,2020-05-11
133,282,820,37291,0.3439024390243902,47000.0,2232666.6666666665,2020-05-12
134,312,769,38060,0.4057217165149545,52000.0,2284666.6666666665,2020-05-13
135,278,780,38840,0.3564102564102564,46333.333333333336,2331000.0,2020-05-14
136,307,847,39687,0.3624557260920897,51166.666666666664,2382166.6666666665,2020-05-15
137,259,789,40476,0.3282636248415716,43166.666666666664,2425333.333333333,2020-05-16
138,261,752,41228,0.3470744680851064,43500.0,2468833.333333333,2020-05-17
139,256,780,42008,0.3282051282051282,42666.666666666664,2511499.9999999995,2020-05-18
140,225,642,42650,0.35046728971962615,37500.0,2548999.9999999995,2020-05-19
141,323,894,43544,0.36129753914988816,53833.333333333336,2602833.333333333,2020-05-20
142,232,638,44182,0.36363636363636365,38666.666666666664,2641499.9999999995,2020-05-21
143,215,618,44800,0.3478964401294498,35833.333333333336,2677333.333333333,2020-05-22
144,188,544,45344,0.34558823529411764,31333.333333333332,2708666.6666666665,2020-05-23
145,222,562,45906,0.39501779359430605,37000.0,2745666.6666666665,2020-05-24
146,276,767,46673,0.35984354628422427,46000.0,2791666.6666666665,2020-05-25
147,198,597,47270,0.3316582914572864,33000.0,2824666.6666666665,2020-05-26
148,164,539,47809,0.3042671614100185,27333.333333333332,2852000.0,2020-05-27
149,198,604,48413,0.32781456953642385,33000.0,2885000.0,2020-05-28
150,186,544,48957,0.34191176470588236,31000.0,2916000.0,2020-05-29
151,182,576,49533,0.3159722222222222,30333.333333333332,2946333.3333333335,2020-05-30
152,175,544,50077,0.32169117647058826,29166.666666666664,2975500.0,2020-05-31
153,279,885,50962,0.3152542372881356,46500.0,3022000.0,2020-06-01
154,207,600,51562,0.345,34500.0,3056500.0,2020-06-02
155,172,539,52101,0.31910946196660483,28666.666666666668,3085166.6666666665,2020-06-03
156,182,571,52672,0.318739054290718,30333.333333333332,3115500.0,2020-06-04
157,191,639,53311,0.29890453834115804,31833.333333333332,3147333.3333333335,2020-06-05
158,174,543,53854,0.32044198895027626,29000.0,3176333.3333333335,2020-06-06
159,148,501,54355,0.2954091816367265,24666.666666666668,3201000.0,2020-06-07
160,173,575,54930,0.3008695652173913,28833.333333333332,3229833.3333333335,2020-06-08
161,159,541,55471,0.29390018484288355,26500.0,3256333.3333333335,2020-06-09
162,186,670,56141,0.27761194029850744,31000.0,3287333.3333333335,2020-06-10
163,164,507,56648,0.3234714003944773,27333.333333333332,3314666.666666667,2020-06-11
164,149,546,57194,0.27289377289377287,24833.333333333332,3339500.0000000005,2020-06-12
165,156,484,57678,0.32231404958677684,26000.0,3365500.0000000005,2020-06-13
166,158,500,58178,0.316,26333.333333333332,3391833.333333334,2020-06-14
167,175,567,58745,0.30864197530864196,29166.666666666664,3421000.0000000005,2020-06-15
168,152,485,59230,0.3134020618556701,25333.333333333332,3446333.333333334,2020-06-16
169,146,491,59721,0.2973523421588595,24333.333333333332,3470666.6666666674,2020-06-17
170,152,521,60242,0.29174664107485604,25333.333333333332,3496000.000000001,2020-06-18
171,154,500,60742,0.308,25666.666666666668,3521666.6666666674,2020-06-19
172,216,679,61421,0.3181148748159057,36000.0,3557666.6666666674,2020-06-20
173,134,436,61857,0.3073394495412844,22333.333333333332,3580000.000000001,2020-06-21
174,150,545,62402,0.27522935779816515,25000.0,3605000.000000001,2020-06-22
175,149,488,62890,0.305327868852459,24833.333333333332,3629833.3333333344,2020-06-23
176,145,491,63381,0.2953156822810591,24166.666666666668,3654000.000000001,2020-06-24
177,161,573,63954,0.28097731239092494,26833.333333333332,3680833.3333333344,2020-06-25
178,163,555,64509,0.2936936936936937,27166.666666666668,3708000.000000001,2020-06-26
179,156,453,64962,0.3443708609271523,26000.0,3734000.000000001,2020-06-27
