 ,MORTE, eUTI, NVACC, SEXO, PNEUMOPATI, IMUNODEPRE, OBESIDADE, SIND_DOWN, RENAL, NEUROLOGIC, DIABETES, PUERPERA, OUT_MORBI, HEMATOLOGI, ASMA, HEPATICA, CARDIOPATI, AG50t65_AG65t75, AG50t65_AG40t50, AG50t65_AG75t85, AG50t65_AG30t40, AG50t65_AG85+, AG50t65_AG18t30, AG50t65_AG0t18, BDI_0_BDI_1, BDI_0_BDI_2, BDI_0_BDI_3, BDI_0_BDI_4, T4t12_T0t4, T4t12_T12t40, T4t12_TM40
DIABETES, -0.10493073998203258, -0.008014745270151872, 0.017551701946612503, 0.03370880931838241, 0.013257752140837365, 0.014450704098923559, -0.04971429956642851, -0.004955080585915961, -0.05751551707223837, 0.008276845817168666, 1.0000000000000002, 0.000758558070169564, -0.0887616005885233, -0.001811205130369337, 0.0007270872609150896, -0.01238765181232005, -0.2292350317362078, -0.042602821415014196, 0.05967205037999048, -0.010175768446381286, 0.07317683305636744, 0.03828759362520618, 0.051856132231309734, 0.03080651695529497, 0.0004523854995215189, 0.001418498418915154, 0.0009727876316644786, -0.006895052895303591, 0.008312418865558542, 0.008883244705416507, -0.004342688744221909
PUERPERA, -0.00995372801211707, -0.010705216978462542, 0.0007217289215819475, 0.05412108776314348, -0.00027947471953073983, 0.003993352855697573, 0.01221285729536543, -0.0009024179210375772, -0.00015398053769652995, 0.0016616214608176345, 0.0007585580701695808, 0.9999999999999999, -0.00032942207744033377, -0.00535503666712663, -0.0017232508627015287, -0.001828419706037121, -0.00030637982503237175, 0.0013916334442234538, -0.009926767572060666, 0.002205820298483762, -0.06809805881025763, 0.002705393656146718, -0.10164282077922403, -0.01235157904502895, 0.00073490423386271, -0.0015519441994711431, -0.0038696351297536295, -0.009707185009298128, -0.007356594404799832, -0.007229548023924719, -0.0030860725262602594
OUT_MORBI, -0.15476020168281057, -0.054184401444254675, 0.02850286517152013, 0.03568424805982971, -0.030826900834735337, -0.06441686566095037, -0.03533815713812599, -0.003927640764193213, -0.01776623735927754, -0.025005591596751715, -0.0887616005885233, -0.00032942207744033204, 0.9999999999999998, -0.00542600268529201, -0.011248724443530506, -0.017653744578337207, 0.07137137784876434, -0.038068793447423976, 0.04722017987491981, -0.04470533163910735, 0.05736937898070694, -0.0355035616115505, 0.0337294207715493, 0.015328996644314629, 0.013281041046478575, 0.011219196039337296, 0.026954423375876967, 0.0230573234404485, 0.008147914470020045, 0.0010096633299640327, -0.002522282290817699
HEMATOLOGI, -0.008933424846145996, -0.00017276813586823044, 1.2298272817880628e-05, 0.005003378666601545, -0.015849268079857173, -0.08311683979431345, -0.0016961274796811895, -0.03765110581577072, -0.020443076466225472, -0.017454047690210063, -0.0018112051303693431, -0.005355036667126629, -0.005426002685292013, 1.0, -0.015527255510569563, -0.045601638185655394, -0.0059148318735901964, -0.003566126892912919, 0.0008616140270816404, -0.003441644376665014, -0.0008773923253555597, -0.0006878205664859236, -0.004828554157657286, -0.01218609496807724, -0.002480224347433936, 0.0014782497115330515, 0.00463360356957567, 0.003282670418257453, 0.0006593856452585984, -0.001901533779181783, -0.004317559867177185
ASMA, -0.04094514553321935, -0.007574344528163347, 0.0031604495198615406, 0.044365466756490245, -0.055765170897958675, 0.0017362060249066274, -0.041469462018262675, -0.013463970156124317, -0.0023858690402929913, 0.0008569392426746456, 0.0007270872609150747, -0.0017232508627015308, -0.0112487244435305, -0.015527255510569559, 1.0000000000000002, -0.012475116116726697, -0.014089972248675735, 0.0036993831514301675, -0.012750898150499193, 0.0035818729427003976, -0.014826829563900046, 0.006432363087752263, -0.01641489556656664, -0.022148918710349477, 0.008651467051633825, 0.013060298797423287, 0.01732088759878933, 0.023545438520226225, 0.0007153308309150413, -0.002481818163787532, 0.00027432031493474434
HEPATICA, -0.014799833206068877, 0.005912153662896542, -0.0009138343200314852, -0.015012130649388791, -0.016287731841979246, -0.04043986706852759, -0.0002082191285804765, -0.032564009589004524, -0.035304955345769704, -0.013391183745212216, -0.012387651812320054, -0.0018284197060371224, -0.017653744578337207, -0.045601638185655394, -0.012475116116726697, 1.0, -0.0055371975184355104, 0.009657489402308015, 0.004905354610851314, 0.018402755055990132, 0.008397506412664792, 0.019216104622225467, 0.006038980384763631, 0.003606375689153171, 0.0032850821624267296, 0.006149445743580865, 0.006579101929448203, 0.005777948069664269, 0.0015804012579104002, -0.0005605088628187585, -0.002093519993085509
CARDIOPATI, -0.15586987638528793, -0.04953594730272173, 0.023670417175429507, 0.021521422716403966, -0.04267017024156089, 0.0049735729699084035, -0.0790780851598023, -0.007920637422795168, -0.06377183752688499, -0.029852794377586436, -0.2292350317362077, -0.0003063798250323565, 0.07137137784876435, -0.005914831873590191, -0.014089972248675737, -0.00553719751843551, 0.9999999999999998, -0.07643770149267406, 0.07660709633271032, -0.09850931131637006, 0.09899296989475233, -0.08111956735239731, 0.07338749395211379, 0.03834607827183977, 0.0011693305769459007, 0.021115501760583102, 0.031696539086564925, 0.0467884008066967, 0.017424495953137217, -0.0030426444669171874, -0.001406600506073479
AG50t65_AG65t75, -0.2804869242321018, 0.05396850191815093, 0.06547286143299255, 0.021434763804926916, -0.036058266483018395, 0.008602473805357379, 0.05998373128568217, 0.007958270007586565, -0.0032714829742519877, -0.018818967249403188, -0.04260282141501424, 0.0013916334442234547, -0.03806879344742405, -0.0035661268929129165, 0.0036993831514301966, 0.009657489402308029, -0.07643770149267415, 0.9999999999999999, 0.3200509875222416, 0.3887936282161995, 0.24006344222837928, 0.2977719273375915, 0.1451100180074517, 0.07999785792619646, -0.01376758924452558, 0.001021850395913307, -0.00258144385913255, -0.008743446934413063, 0.009845828159710577, -0.005071918526577655, -0.014400402835302337
AG50t65_AG40t50, -0.20242395312048697, -0.03402936281037485, -0.018815973366147654, -0.027533007146461008, 0.01695098003536254, -0.0026503552418665755, -0.05970623151461663, -0.008550661680936454, 0.0028610785459696553, 0.0022352950425599885, 0.05967205037999046, -0.00992676757206067, 0.047220179874919756, 0.0008616140270816484, -0.01275089815049918, 0.0049053546108513285, 0.07660709633271019, 0.32005098752224154, 1.0, 0.27654468215288525, 0.24632290043336832, 0.20884447233999315, 0.15209762831611576, 0.08105980170883591, 7.390403928773248e-05, -0.0035957656015175765, -0.0012653003831825608, -0.004924885746032623, -0.011624302668084995, 0.015588141194800498, 0.015606907810904468
AG50t65_AG75t85, -0.2830801880036835, 0.08499357766923918, 0.09342255788407254, 0.042470456620450306, -0.05405918970048683, 0.020416482623024108, 0.08320620399655643, 0.009807522269709136, -0.004751519526799735, -0.07041580752604275, -0.010175768446381291, 0.0022058202984837523, -0.0447053316391074, -0.00344164437666501, 0.003581872942700418, 0.01840275505599015, -0.09850931131637018, 0.3887936282161995, 0.27654468215288525, 1.0, 0.20588834838231146, 0.2852275415750707, 0.12541979148067742, 0.0713218333602601, -0.01603600875209312, 0.00611357771024755, -0.00136489923957224, -0.023970782132147643, 0.010460347647964826, 0.007420832544864686, -0.005351645327527771
AG50t65_AG30t40, -0.15959076975816602, -0.03964272572217601, -0.02195907833982822, -0.01600977744369337, 0.012807704596973732, -0.006292162944582329, -0.07455751901151754, -0.01667855078564958, 0.0014559490046452738, -0.0011834684379984407, 0.07317683305636742, -0.06809805881025766, 0.05736937898070698, -0.0008773923253555576, -0.014826829563900036, 0.008397506412664797, 0.09899296989475238, 0.24006344222837928, 0.24632290043336838, 0.20588834838231146, 1.0, 0.15655598890151803, 0.13298830646887563, 0.0683442819329095, -0.0010275732278618296, -0.005490147511225457, -0.0047078258451904425, -0.011173738674635711, -0.020428702847392798, 0.01938178201235567, 0.019595737865673816
AG50t65_AG85+, -0.2577798012009305, 0.0975569632223339, 0.0928746721084575, 0.07176968550811352, -0.042029975259469485, 0.023156498804954354, 0.07559962116594737, 0.008448118556165207, -0.0046594200944195235, -0.1091263011865059, 0.03828759362520619, 0.0027053936561467055, -0.03550356161155045, -0.0006878205664859222, 0.006432363087752279, 0.019216104622225474, -0.08111956735239732, 0.2977719273375915, 0.20884447233999315, 0.28522754157507074, 0.15655598890151803, 1.0, 0.09710027360639858, 0.05628911768314871, -0.018711437741537208, 0.015000795227066321, 0.009167573812155284, -0.01017859695222966, 0.00849726548649914, 0.025051927591486237, 0.004206001758326475
AG50t65_AG18t30, -0.09829331776423642, -0.02270502149244032, -0.016233504230421057, 0.01439444158372399, 0.006718874083430366, -0.011222641862149108, -0.04871359131734671, -0.02784474827312539, -0.002383116662640876, -0.009305810460827898, 0.05185613223130973, -0.101642820779224, 0.033729420771549265, -0.004828554157657283, -0.01641489556656664, 0.006038980384763635, 0.07338749395211375, 0.14511001800745169, 0.1520976283161157, 0.12541979148067736, 0.13298830646887558, 0.09710027360639854, 0.9999999999999999, 0.04535530775061697, -0.002202564587715927, -0.006048823142627607, -0.009164342611337733, -0.016843476186705387, -0.026931428567448106, 0.008873882444081967, 0.010022996849595477
AG50t65_AG0t18, -0.04000412711367764, -0.02808510243931867, -0.015604243732802447, 0.00511260027321305, -0.002718389676256324, -0.010249222788972572, 0.012708325162435299, -0.032814052365221724, 0.0005615989934879814, -0.02948845378253737, 0.030806516955294985, -0.012351579045028952, 0.015328996644314611, -0.012186094968077247, -0.02214891871034948, 0.003606375689153178, 0.038346078271839744, 0.07999785792619649, 0.08105980170883592, 0.07132183336026013, 0.0683442819329095, 0.05628911768314871, 0.04535530775061699, 1.0, -0.004270924669579665, -0.005560144625150168, -0.010016949050951776, -0.024645781433632982, -0.030142598700370307, 0.0014279685286495772, 0.000628618032197284
BDI_0_BDI_1, -0.33015172685339117, -0.05134356102176421, -0.027536965631459482, 0.005506626370069253, 0.01045714026422913, 0.005781123319911293, 0.036234224682970044, 0.00034601974039210904, -0.0002661333648971066, 0.013166351249091844, 0.0004523854995216049, 0.0007349042338626976, 0.013281041046478585, -0.002480224347433918, 0.008651467051633851, 0.0032850821624267283, 0.0011693305769459364, -0.01376758924452565, 7.390403928781899e-05, -0.016036008752093097, -0.001027573227861783, -0.018711437741537173, -0.0022025645877158636, -0.004270924669579678, 1.0, 0.5072587327784184, 0.5109399605521157, 0.5128931915107463, -0.009076704108942433, 0.015105695404181286, -0.003778096596517433
BDI_0_BDI_2, -0.3561210921873693, -0.0047896259290671, -0.018650818868779454, 0.007913315856953654, 0.012728226374466576, 0.012258181607313545, 0.030191490448095753, -0.0012891745779972609, 0.0010592029506502933, 0.02297837744212575, 0.0014184984189152432, -0.0015519441994711538, 0.01121919603933732, 0.0014782497115330773, 0.013060298797423295, 0.006149445743580868, 0.0211155017605831, 0.0010218503959132411, -0.003595765601517494, 0.006113577710247575, -0.005490147511225423, 0.015000795227066363, -0.006048823142627551, -0.005560144625150182, 0.5072587327784184, 1.0, 0.5128493057452292, 0.5147285045181671, -0.003258799860449545, 0.014758799521299899, 0.007010126593507958
BDI_0_BDI_3, -0.35169771246531983, 0.015084078599956483, -0.046291721526651876, 0.010265956524976699, 0.022573033066911885, 0.01746287018265578, 0.04228457269871375, -0.0010574649486161387, 0.0017891028384759942, 0.0334135028273967, 0.0009727876316645246, -0.003869635129753639, 0.026954423375876974, 0.00463360356957569, 0.017320887598789317, 0.006579101929448204, 0.03169653908656502, -0.0025814438591325707, -0.0012653003831824628, -0.0013648992395722667, -0.004707825845190393, 0.009167573812155284, -0.009164342611337674, -0.010016949050951792, 0.5109399605521155, 0.5128493057452292, 1.0, 0.5230523687634078, -0.0002394498082253415, 0.016691030567429793, -0.0036033302867037476
BDI_0_BDI_4, -0.3423818790415783, 0.0161618727383049, -0.05541643572197596, 0.0030923290697026065, 0.03219566383032222, 0.02281895477932741, 0.04929194395012263, -0.006458969741255803, 0.005949754170755758, 0.04534735709779723, -0.006895052895303532, -0.00970718500929814, 0.023057323440448477, 0.003282670418257476, 0.023545438520226225, 0.005777948069664269, 0.046788400806696745, -0.00874344693441311, -0.004924885746032533, -0.02397078213214761, -0.011173738674635642, -0.01017859695222965, -0.01684347618670532, -0.024645781433632986, 0.5128931915107463, 0.5147285045181671, 0.5230523687634078, 1.0, -0.010786839208496655, 0.021217189420948517, -0.008788726327889608
T4t12_T0t4, -0.23295326330490299, 0.15214590377436626, 0.005461998816583799, 0.013828381863073398, 0.001959357372313284, 0.0051117313010594365, 0.017030842015236355, 0.002107848300762968, 0.005537057306149493, 0.009772895855883604, 0.008312418865558497, -0.0073565944047998336, 0.008147914470020175, 0.0006593856452586147, 0.0007153308309150328, 0.0015804012579104098, 0.01742449595313722, 0.009845828159710636, -0.011624302668084951, 0.010460347647964904, -0.020428702847392788, 0.008497265486499164, -0.026931428567448082, -0.030142598700370296, -0.009076704108942202, -0.0032587998604493924, -0.0002394498082251928, -0.010786839208496395, 1.0000000000000002, 0.3577123104160137, 0.16176335616617207
T4t12_T12t40, -0.2056862319233399, -0.12995519233848798, -0.00776725349352155, -0.0025267697564907033, -0.0021696113458922655, -0.008101155559009655, -0.0029437719338175614, -0.0008962724286984019, -0.003707772489421607, -0.002125341091574689, 0.008883244705416475, -0.007229548023924716, 0.0010096633299642025, -0.0019015337791817568, -0.0024818181637875354, -0.0005605088628187393, -0.003042644466917182, -0.0050719185265776, 0.015588141194800566, 0.007420832544864777, 0.019381782012355676, 0.02505192759148627, 0.008873882444081972, 0.0014279685286495822, 0.015105695404181465, 0.014758799521299961, 0.01669103056742989, 0.021217189420948735, 0.3577123104160137, 1.0000000000000002, 0.21904601668606472
T4t12_TM40, -0.0670579903184533, -0.10411372035881078, -0.02007444666230174, -0.0047882612422567505, -0.007274363465198518, -0.017197346969674347, -0.010602191522964054, -0.003959522985951034, -0.016734054020211157, -0.013568035789365421, -0.004342688744221926, -0.003086072526260257, -0.0025222822908176354, -0.004317559867177182, 0.00027432031493473437, -0.002093519993085499, -0.0014066005060734473, -0.014400402835302268, 0.015606907810904524, -0.0053516453275277145, 0.019595737865673837, 0.004206001758326503, 0.0100229968495955, 0.0006286180321972974, -0.0037780965965173844, 0.007010126593508, -0.003603330286703765, -0.008788726327889537, 0.16176335616617207, 0.21904601668606474, 0.9999999999999999
