,cases,deaths,cases_cum,case_adj,case_adj_cum,date
91,1609,140,24858,23333.333333333332,662666.6666666665,2020-05-27
92,3739,292,28597,48666.666666666664,759999.9999999999,2020-05-28
93,1863,159,30460,26500.0,812999.9999999999,2020-05-29
94,2263,175,32723,29166.666666666664,871333.3333333333,2020-05-30
95,2328,195,35051,32500.0,936333.3333333333,2020-05-31
96,2786,273,37837,45500.0,1027333.3333333333,2020-06-01
97,3406,270,41243,45000.0,1117333.3333333333,2020-06-02
98,2840,243,44083,40500.0,1198333.3333333333,2020-06-03
99,3592,260,47675,43333.333333333336,1285000.0,2020-06-04
100,4065,309,51740,51500.0,1388000.0,2020-06-05
101,3355,243,55095,40500.0,1469000.0,2020-06-06
102,4991,324,60086,54000.0,1577000.0,2020-06-07
103,8506,567,68592,94500.0,1766000.0,2020-06-08
104,5382,385,73974,64166.666666666664,1894333.3333333333,2020-06-09
105,4962,326,78936,54333.333333333336,2003000.0,2020-06-10
106,6176,409,85112,68166.66666666667,2139333.3333333335,2020-06-11
107,8510,427,93622,71166.66666666667,2281666.666666667,2020-06-12
108,5684,344,99306,57333.333333333336,2396333.3333333335,2020-06-13
109,5851,327,105157,54500.0,2505333.3333333335,2020-06-14
110,7097,382,112254,63666.666666666664,2632666.666666667,2020-06-15
111,6219,358,118473,59666.666666666664,2752000.0000000005,2020-06-16
112,11886,613,130359,102166.66666666667,2956333.333333334,2020-06-17
113,7352,409,137711,68166.66666666667,3092666.6666666674,2020-06-18
114,7194,363,144905,60500.0,3213666.6666666674,2020-06-19
115,6339,326,151244,54333.333333333336,3322333.333333334,2020-06-20
116,6898,363,158142,60500.0,3443333.333333334,2020-06-21
117,11456,470,169598,78333.33333333333,3600000.0000000005,2020-06-22
118,6828,357,176426,59500.0,3719000.0000000005,2020-06-23
119,6555,303,182981,50500.0,3820000.0000000005,2020-06-24
120,9265,374,192246,62333.33333333333,3944666.666666667,2020-06-25
121,7117,323,199363,53833.333333333336,4052333.3333333335,2020-06-26
122,12800,490,212163,81666.66666666667,4215666.666666667,2020-06-27
123,7109,343,219272,57166.666666666664,4330000.0,2020-06-28
124,7662,305,226934,50833.333333333336,4431666.666666667,2020-06-29
125,6408,295,233342,49166.666666666664,4530000.0,2020-06-30
126,6169,291,239511,48500.0,4627000.0,2020-07-01
127,11450,427,250961,71166.66666666667,4769333.333333333,2020-07-02
128,7181,268,258142,44666.666666666664,4858666.666666666,2020-07-03
129,7189,285,265331,47500.0,4953666.666666666,2020-07-04
130,8797,312,274128,52000.0,5057666.666666666,2020-07-05
131,7657,306,281785,51000.0,5159666.666666666,2020-07-06
132,8099,253,289884,42166.666666666664,5243999.999999999,2020-07-07
133,5800,242,295684,40333.333333333336,5324666.666666666,2020-07-08
134,15379,523,311063,87166.66666666667,5498999.999999999,2020-07-09
135,8839,331,319902,55166.666666666664,5609333.333333332,2020-07-10
136,7797,312,327699,52000.0,5713333.333333332,2020-07-11
137,7423,298,335122,49666.666666666664,5812666.666666665,2020-07-12
138,10252,323,345374,53833.333333333336,5920333.333333332,2020-07-13
139,8410,275,353784,45833.333333333336,6011999.999999999,2020-07-14
140,7127,244,360911,40666.666666666664,6093333.333333332,2020-07-15
141,9996,274,370907,45666.666666666664,6184666.666666665,2020-07-16
142,8051,250,378958,41666.666666666664,6267999.999999998,2020-07-17
143,13733,418,392691,69666.66666666667,6407333.333333331,2020-07-18
144,7211,236,399902,39333.333333333336,6485999.999999998,2020-07-19
145,9391,259,409293,43166.666666666664,6572333.333333331,2020-07-20
146,7517,292,416810,48666.666666666664,6669666.666666664,2020-07-21
147,7682,265,424492,44166.666666666664,6757999.999999997,2020-07-22
148,13368,338,437860,56333.333333333336,6870666.666666664,2020-07-23
149,9316,275,447176,45833.333333333336,6962333.333333331,2020-07-24
150,8555,262,455731,43666.666666666664,7049666.666666664,2020-07-25
151,9340,280,465071,46666.666666666664,7142999.999999997,2020-07-26
152,8957,273,474028,45500.0,7233999.999999997,2020-07-27
153,13189,351,487217,58500.0,7350999.999999997,2020-07-28
154,6762,206,493979,34333.333333333336,7419666.666666664,2020-07-29
155,10496,263,504475,43833.333333333336,7507333.333333331,2020-07-30
156,8874,236,513349,39333.333333333336,7585999.999999998,2020-07-31
157,8500,230,521849,38333.333333333336,7662666.666666665,2020-08-01
158,10748,291,532597,48500.0,7759666.666666665,2020-08-02
159,10629,279,543226,46500.0,7852666.666666665,2020-08-03
160,7967,201,551193,33500.0,7919666.666666665,2020-08-04
161,8965,258,560158,43000.0,8005666.666666665,2020-08-05
162,10238,223,570396,37166.666666666664,8079999.999999998,2020-08-06
163,11388,308,581784,51333.333333333336,8182666.666666665,2020-08-07
164,16047,439,597831,73166.66666666667,8328999.999999998,2020-08-08
165,10348,264,608179,44000.0,8416999.999999998,2020-08-09
166,10473,270,618652,45000.0,8506999.999999998,2020-08-10
167,8449,262,627101,43666.666666666664,8594333.333333332,2020-08-11
168,9777,269,636878,44833.333333333336,8683999.999999998,2020-08-12
169,11532,280,648410,46666.666666666664,8777333.333333332,2020-08-13
170,10522,281,658932,46833.333333333336,8870999.999999998,2020-08-14
171,9961,278,668893,46333.333333333336,8963666.666666664,2020-08-15
172,9116,233,678009,38833.333333333336,9041333.33333333,2020-08-16
173,15237,389,693246,64833.33333333333,9170999.999999996,2020-08-17
174,7935,233,701181,38833.333333333336,9248666.666666662,2020-08-18
175,8361,264,709542,44000.0,9336666.666666662,2020-08-19
176,11132,223,720674,37166.666666666664,9410999.999999996,2020-08-20
177,9211,231,729885,38500.0,9487999.999999996,2020-08-21
178,11374,279,741259,46500.0,9580999.999999996,2020-08-22
179,8933,248,750192,41333.333333333336,9663666.666666662,2020-08-23
180,10466,222,760658,37000.0,9737666.666666662,2020-08-24
181,8745,247,769403,41166.666666666664,9819999.999999996,2020-08-25
182,8014,226,777417,37666.666666666664,9895333.33333333,2020-08-26
183,15673,337,793090,56166.666666666664,10007666.666666664,2020-08-27
184,8817,189,801907,31500.0,10070666.666666664,2020-08-28
185,8598,196,810505,32666.666666666664,10135999.999999998,2020-08-29
186,8901,193,819406,32166.666666666664,10200333.333333332,2020-08-30
187,8983,200,828389,33333.333333333336,10266999.999999998,2020-08-31
188,9480,223,837869,37166.666666666664,10341333.333333332,2020-09-01
189,7379,197,845248,32833.333333333336,10406999.999999998,2020-09-02
190,11073,204,856321,34000.0,10474999.999999998,2020-09-03
191,8644,194,864965,32333.333333333332,10539666.666666664,2020-09-04
