mean_all,stdm_all,median_all,mean_death,stdm_death,median_death,mean_cure,stdm_cure,median_cure,n_death,n_cure,age_min,age_mean,age_max,ibp_min,ibp_mean,ibp_max
8.733617021276595,0.27745735087788026,6.0,7.929203539823009,0.2626177396698401,6.0,12.271428571428572,0.9119785697206507,8.0,904,210,85,89.47766323024055,113,0.0347,0.2646589633447863,0.4824
12.761006289308176,0.8400538669365618,7.0,9.802631578947368,1.3695971666486342,5.0,12.55958549222798,1.1034513287993848,7.0,76,193,0,6.987546699875467,17,0.4843,0.7231627023661267,0.9319
10.399644760213144,0.4587532477888529,7.0,10.306532663316583,0.6459846086415204,8.0,10.19811320754717,0.6159603614794693,7.0,199,318,18,24.7928599450765,29,0.4843,0.7151138877991344,0.9319
10.840785907859079,0.30373147078059176,7.0,11.222772277227723,0.45655996957321415,8.0,10.588390501319262,0.4160314326063737,7.0,606,758,30,35.1025960170697,39,0.4843,0.7150977773826495,0.9319
10.743685687558466,0.23098111887186842,8.0,10.692849949647533,0.3111920688614476,9.0,10.619940769990128,0.33538202483130286,8.0,993,1013,40,44.550879978827574,49,0.4843,0.7138529707555874,0.9319
11.414997671169074,0.17502183318519152,8.0,11.395283772981614,0.21352509020964294,9.0,11.251450676982591,0.2927064386506453,8.0,2502,1551,50,57.04481689308919,64,0.4843,0.7136066302421687,0.9319
11.483912073908888,0.20914376486867514,8.0,10.950390445567294,0.22605317280520107,8.0,12.244416873449131,0.42945876246101605,8.0,2177,806,65,69.45678459471563,74,0.4843,0.7160153828929647,0.9319
10.462286158631414,0.20520804157008918,8.0,10.241237113402061,0.22461986046836804,8.0,11.217647058823529,0.4711109572285946,8.0,1940,510,75,79.27651918976545,84,0.4843,0.7182246934967975,0.9319
9.349869451697128,0.29481600489577314,7.0,8.850967007963595,0.30387278597100015,7.0,11.132743362831858,0.8158462280535494,7.5,879,226,85,89.6996523134528,127,0.4843,0.7206795132388317,0.9319
12.57396449704142,0.7657571129019628,7.0,12.047619047619047,1.5485918651297568,6.0,11.981735159817351,0.916705342761565,7.0,84,219,0,6.846374730796842,17,0.933,1.148029504666183,1.381
10.172484599589323,0.5052161616378869,7.0,10.71508379888268,0.8106160630419526,7.0,9.49438202247191,0.6147761149824801,6.0,179,267,18,24.711349836524988,29,0.933,1.1334302195235884,1.381
10.273191489361702,0.32679387019111344,7.0,10.946153846153846,0.46214524610820806,8.0,9.892123287671232,0.46145452887299987,6.0,520,584,30,34.986270022883296,39,0.9332,1.138856910755151,1.381
10.778575703171754,0.2624551915027855,8.0,11.51328502415459,0.35998473930304725,9.0,10.243243243243244,0.39407392056105023,7.0,828,740,40,44.614229653642724,49,0.933,1.132678962634368,1.3813
11.126814814814814,0.18711665712566608,8.0,11.011122345803843,0.22571170573103672,9.0,11.392857142857142,0.3234632939079777,8.0,1978,1204,50,57.12115008839676,64,0.933,1.1354273657765146,1.3818
11.085734870317003,0.21129587763662486,8.0,10.90255341323606,0.24179988669406824,8.0,11.544321329639889,0.42875438790022186,8.0,1919,722,65,69.55007530120481,74,0.933,1.137516026606433,1.3818
10.527476935419173,0.22005035318735575,8.0,10.121495327102803,0.23346518067949262,8.0,11.959578207381371,0.5092344795143688,8.0,1819,569,75,79.275401836969,84,0.933,1.1385820177956436,1.3818
9.01107325383305,0.2648655135733198,6.0,8.947027027027026,0.28306683519319686,7.0,9.839024390243903,0.6720079159097653,7.0,925,205,85,89.53917179630666,110,0.933,1.1418109121432591,1.3818
10.02608695652174,1.2403378436424106,5.0,9.153846153846153,2.4238854337341045,2.0,8.323076923076924,1.187294049409544,6.0,39,65,0,6.959507042253521,17,1.3835,1.5779882042253532,1.8297
11.222222222222221,0.8955933386001473,7.0,10.640449438202246,1.2367011862442876,8.0,11.936842105263159,1.2542256036281376,7.0,89,95,18,24.520531400966185,29,1.382,1.5667884057971022,1.8297
